Escenario,Cluster_center,Dia_representativo,Probabilidad
1,4,2026-01-05,0.02247191011235955
2,9,2026-01-10,0.0449438202247191
3,10,2026-01-11,0.06179775280898876
4,25,2026-01-26,0.06741573033707865
5,58,2026-02-28,0.033707865168539325
6,59,2026-03-01,0.028089887640449437
7,86,2026-03-28,0.1797752808988764
8,98,2026-04-10,0.1404494382022472
9,107,2026-04-20,0.1348314606741573
10,128,2026-05-12,0.02247191011235955
11,138,2026-05-22,0.19101123595505617
12,173,2026-06-26,0.07303370786516854
