Escenario,Cluster_center,Dia_representativo,Probabilidad
1,4,2026-01-05,0.02247191011235955
2,10,2026-01-11,0.0898876404494382
3,27,2026-01-28,0.09550561797752809
4,35,2026-02-05,0.1797752808988764
5,50,2026-02-20,0.0898876404494382
6,107,2026-04-20,0.1404494382022472
7,128,2026-05-12,0.02247191011235955
8,131,2026-05-15,0.0898876404494382
9,138,2026-05-22,0.19101123595505617
10,173,2026-06-26,0.07865168539325842
