Escenario,Cluster_center,Dia_representativo,Probabilidad
1,10,2026-01-11,0.17415730337078653
2,27,2026-01-28,0.10674157303370786
3,86,2026-03-28,0.20224719101123595
4,128,2026-05-12,0.028089887640449437
5,131,2026-05-15,0.20224719101123595
6,138,2026-05-22,0.28651685393258425
