Escenario,Cluster_center,Dia_representativo,Probabilidad
1,4,2026-01-05,0.016853932584269662
2,9,2026-01-10,0.033707865168539325
3,10,2026-01-11,0.06179775280898876
4,13,2026-01-14,0.0056179775280898875
5,14,2026-01-15,0.011235955056179775
6,15,2026-01-16,0.016853932584269662
7,35,2026-02-05,0.15730337078651685
8,38,2026-02-08,0.03932584269662921
9,50,2026-02-20,0.06741573033707865
10,59,2026-03-01,0.02247191011235955
11,62,2026-03-04,0.0056179775280898875
12,69,2026-03-11,0.0056179775280898875
13,72,2026-03-14,0.02247191011235955
14,92,2026-04-04,0.033707865168539325
15,96,2026-04-08,0.07303370786516854
16,107,2026-04-20,0.09550561797752809
17,113,2026-04-27,0.011235955056179775
18,121,2026-05-05,0.0056179775280898875
19,128,2026-05-12,0.0056179775280898875
20,131,2026-05-15,0.06179775280898876
21,132,2026-05-16,0.056179775280898875
22,138,2026-05-22,0.07865168539325842
23,143,2026-05-27,0.056179775280898875
24,173,2026-06-26,0.056179775280898875
