Escenario,Cluster_center,Dia_representativo,Probabilidad
95,94,2026-04-06,0.0056179775280898875
96,95,2026-04-07,0.0056179775280898875
97,96,2026-04-08,0.0056179775280898875
98,97,2026-04-09,0.0056179775280898875
99,98,2026-04-10,0.0056179775280898875
100,99,2026-04-11,0.0056179775280898875
101,100,2026-04-12,0.0056179775280898875
102,101,2026-04-13,0.0056179775280898875
103,102,2026-04-14,0.0056179775280898875
104,103,2026-04-15,0.0056179775280898875
105,104,2026-04-17,0.0056179775280898875
106,105,2026-04-18,0.0056179775280898875
107,106,2026-04-19,0.0056179775280898875
108,107,2026-04-20,0.0056179775280898875
109,108,2026-04-21,0.0056179775280898875
110,109,2026-04-23,0.0056179775280898875
111,110,2026-04-24,0.0056179775280898875
112,111,2026-04-25,0.0056179775280898875
113,112,2026-04-26,0.0056179775280898875
114,113,2026-04-27,0.0056179775280898875
115,114,2026-04-28,0.0056179775280898875
116,115,2026-04-29,0.0056179775280898875
117,116,2026-04-30,0.0056179775280898875
118,117,2026-05-01,0.0056179775280898875
119,118,2026-05-02,0.0056179775280898875
120,119,2026-05-03,0.0056179775280898875
121,120,2026-05-04,0.0056179775280898875
122,121,2026-05-05,0.0056179775280898875
123,122,2026-05-06,0.0056179775280898875
124,123,2026-05-07,0.0056179775280898875
125,124,2026-05-08,0.0056179775280898875
126,125,2026-05-09,0.0056179775280898875
127,126,2026-05-10,0.0056179775280898875
128,127,2026-05-11,0.0056179775280898875
129,128,2026-05-12,0.0056179775280898875
130,129,2026-05-13,0.0056179775280898875
131,130,2026-05-14,0.0056179775280898875
132,131,2026-05-15,0.0056179775280898875
133,132,2026-05-16,0.0056179775280898875
134,133,2026-05-17,0.0056179775280898875
135,134,2026-05-18,0.0056179775280898875
136,135,2026-05-19,0.0056179775280898875
137,136,2026-05-20,0.0056179775280898875
138,137,2026-05-21,0.0056179775280898875
139,138,2026-05-22,0.0056179775280898875
140,139,2026-05-23,0.0056179775280898875
141,140,2026-05-24,0.0056179775280898875
142,141,2026-05-25,0.0056179775280898875
143,142,2026-05-26,0.0056179775280898875
144,143,2026-05-27,0.0056179775280898875
145,144,2026-05-28,0.0056179775280898875
146,145,2026-05-29,0.0056179775280898875
147,146,2026-05-30,0.0056179775280898875
148,147,2026-05-31,0.0056179775280898875
149,148,2026-06-01,0.0056179775280898875
150,149,2026-06-02,0.0056179775280898875
151,150,2026-06-03,0.0056179775280898875
152,151,2026-06-04,0.0056179775280898875
153,152,2026-06-05,0.0056179775280898875
154,153,2026-06-06,0.0056179775280898875
155,154,2026-06-07,0.0056179775280898875
156,155,2026-06-08,0.0056179775280898875
157,156,2026-06-09,0.0056179775280898875
158,157,2026-06-10,0.0056179775280898875
159,158,2026-06-11,0.0056179775280898875
160,159,2026-06-12,0.0056179775280898875
161,160,2026-06-13,0.0056179775280898875
162,161,2026-06-14,0.0056179775280898875
163,162,2026-06-15,0.0056179775280898875
164,163,2026-06-16,0.0056179775280898875
165,164,2026-06-17,0.0056179775280898875
166,165,2026-06-18,0.0056179775280898875
167,166,2026-06-19,0.0056179775280898875
168,167,2026-06-20,0.0056179775280898875
169,168,2026-06-21,0.0056179775280898875
170,169,2026-06-22,0.0056179775280898875
171,170,2026-06-23,0.0056179775280898875
172,171,2026-06-24,0.0056179775280898875
173,172,2026-06-25,0.0056179775280898875
174,173,2026-06-26,0.0056179775280898875
175,174,2026-06-27,0.0056179775280898875
176,175,2026-06-28,0.0056179775280898875
177,176,2026-06-29,0.0056179775280898875
178,177,2026-06-30,0.0056179775280898875
