Escenario,Cluster_center,Dia_representativo,Probabilidad
1,0,2026-01-01,0.0056179775280898875
2,1,2026-01-02,0.0056179775280898875
3,2,2026-01-03,0.0056179775280898875
4,3,2026-01-04,0.0056179775280898875
5,4,2026-01-05,0.0056179775280898875
6,5,2026-01-06,0.0056179775280898875
7,6,2026-01-07,0.0056179775280898875
8,7,2026-01-08,0.0056179775280898875
9,8,2026-01-09,0.0056179775280898875
10,9,2026-01-10,0.0056179775280898875
11,10,2026-01-11,0.0056179775280898875
12,11,2026-01-12,0.0056179775280898875
13,12,2026-01-13,0.0056179775280898875
14,13,2026-01-14,0.0056179775280898875
15,14,2026-01-15,0.0056179775280898875
16,15,2026-01-16,0.0056179775280898875
17,16,2026-01-17,0.0056179775280898875
18,17,2026-01-18,0.0056179775280898875
19,18,2026-01-19,0.0056179775280898875
20,19,2026-01-20,0.0056179775280898875
21,20,2026-01-21,0.0056179775280898875
22,21,2026-01-22,0.0056179775280898875
23,22,2026-01-23,0.0056179775280898875
24,23,2026-01-24,0.0056179775280898875
25,24,2026-01-25,0.0056179775280898875
26,25,2026-01-26,0.0056179775280898875
27,26,2026-01-27,0.0056179775280898875
28,27,2026-01-28,0.0056179775280898875
29,28,2026-01-29,0.0056179775280898875
30,29,2026-01-30,0.0056179775280898875
31,30,2026-01-31,0.0056179775280898875
32,31,2026-02-01,0.0056179775280898875
33,32,2026-02-02,0.0056179775280898875
34,33,2026-02-03,0.0056179775280898875
35,34,2026-02-04,0.0056179775280898875
36,35,2026-02-05,0.0056179775280898875
37,36,2026-02-06,0.0056179775280898875
38,37,2026-02-07,0.0056179775280898875
39,38,2026-02-08,0.0056179775280898875
40,39,2026-02-09,0.0056179775280898875
41,40,2026-02-10,0.0056179775280898875
42,41,2026-02-11,0.0056179775280898875
43,42,2026-02-12,0.0056179775280898875
44,43,2026-02-13,0.0056179775280898875
45,44,2026-02-14,0.0056179775280898875
46,45,2026-02-15,0.0056179775280898875
47,46,2026-02-16,0.0056179775280898875
48,47,2026-02-17,0.0056179775280898875
49,48,2026-02-18,0.0056179775280898875
50,49,2026-02-19,0.0056179775280898875
51,50,2026-02-20,0.0056179775280898875
52,51,2026-02-21,0.0056179775280898875
53,52,2026-02-22,0.0056179775280898875
54,53,2026-02-23,0.0056179775280898875
55,54,2026-02-24,0.0056179775280898875
56,55,2026-02-25,0.0056179775280898875
57,56,2026-02-26,0.0056179775280898875
58,57,2026-02-27,0.0056179775280898875
59,58,2026-02-28,0.0056179775280898875
60,59,2026-03-01,0.0056179775280898875
61,60,2026-03-02,0.0056179775280898875
62,61,2026-03-03,0.0056179775280898875
63,62,2026-03-04,0.0056179775280898875
64,63,2026-03-05,0.0056179775280898875
65,64,2026-03-06,0.0056179775280898875
66,65,2026-03-07,0.0056179775280898875
67,66,2026-03-08,0.0056179775280898875
68,67,2026-03-09,0.0056179775280898875
69,68,2026-03-10,0.0056179775280898875
70,69,2026-03-11,0.0056179775280898875
71,70,2026-03-12,0.0056179775280898875
72,71,2026-03-13,0.0056179775280898875
73,72,2026-03-14,0.0056179775280898875
74,73,2026-03-15,0.0056179775280898875
75,74,2026-03-16,0.0056179775280898875
76,75,2026-03-17,0.0056179775280898875
77,76,2026-03-18,0.0056179775280898875
78,77,2026-03-19,0.0056179775280898875
79,78,2026-03-20,0.0056179775280898875
80,79,2026-03-21,0.0056179775280898875
81,80,2026-03-22,0.0056179775280898875
82,81,2026-03-23,0.0056179775280898875
83,82,2026-03-24,0.0056179775280898875
84,83,2026-03-25,0.0056179775280898875
85,84,2026-03-26,0.0056179775280898875
86,85,2026-03-27,0.0056179775280898875
87,86,2026-03-28,0.0056179775280898875
88,87,2026-03-30,0.0056179775280898875
89,88,2026-03-31,0.0056179775280898875
90,89,2026-04-01,0.0056179775280898875
91,90,2026-04-02,0.0056179775280898875
92,91,2026-04-03,0.0056179775280898875
93,92,2026-04-04,0.0056179775280898875
94,93,2026-04-05,0.0056179775280898875
