Fecha,Hora,Produccion_Eolica
2019-01-09,22,145.5
2019-01-09,23,155.0
2019-01-09,24,158.0
2019-01-10,1,160.0
2019-01-10,2,154.0
2019-01-10,3,138.0
2019-01-10,4,127.5
2019-01-10,5,121.0
2019-01-10,6,109.0
2019-01-10,7,95.5
2019-01-10,8,82.5
2019-01-10,9,77.0
2019-01-10,10,50.5
2019-01-10,11,32.0
2019-01-10,12,64.5
2019-01-10,13,78.5
2019-01-10,14,72.5
2019-01-10,15,65.5
2019-01-10,16,69.5
2019-01-10,17,72.0
2019-01-10,18,74.5
2019-01-10,19,81.5
2019-01-10,20,87.5
2019-01-10,21,85.5
2019-01-10,22,79.5
2019-01-10,23,71.5
2019-01-10,24,57.5
2019-01-11,1,46.0
2019-01-11,2,42.0
2019-01-11,3,42.0
2019-01-11,4,43.5
2019-01-11,5,36.0
2019-01-11,6,34.5
2019-01-11,7,27.5
2019-01-11,8,22.5
2019-01-11,9,15.5
2019-01-11,10,3.5
2019-01-11,11,6.0
2019-01-11,12,2.5
2019-01-11,13,1.5
2019-01-11,14,3.0
2019-01-11,15,5.5
2019-01-11,16,6.5
2019-01-11,17,13.0
2019-01-11,18,29.5
2019-01-11,19,50.5
2019-01-11,20,63.0
2019-01-11,21,65.5
2019-01-11,22,58.0
2019-01-11,23,49.5
2019-01-11,24,46.0
2019-01-12,1,52.5
2019-01-12,2,64.5
2019-01-12,3,82.0
2019-01-12,4,91.0
2019-01-12,5,102.0
2019-01-12,6,109.0
2019-01-12,7,107.5
2019-01-12,8,106.0
2019-01-12,9,109.0
2019-01-12,10,68.5
2019-01-12,11,24.0
2019-01-12,12,18.5
2019-01-12,13,19.0
2019-01-12,14,19.5
2019-01-12,15,27.0
2019-01-12,16,41.0
2019-01-12,17,56.0
2019-01-12,18,78.5
2019-01-12,19,100.5
2019-01-12,20,124.5
2019-01-12,21,150.5
2019-01-12,22,165.0
2019-01-12,23,191.5
2019-01-12,24,211.0
2019-01-13,1,208.0
2019-01-13,2,198.5
2019-01-13,3,203.5
2019-01-13,4,195.5
2019-01-13,5,177.5
2019-01-13,6,179.0
2019-01-13,7,200.5
2019-01-13,8,210.0
2019-01-13,9,183.5
2019-01-13,10,135.0
2019-01-13,11,112.5
2019-01-13,12,104.5
2019-01-13,13,102.5
2019-01-13,14,110.5
2019-01-13,15,133.0
2019-01-13,16,161.0
2019-01-13,17,197.5
2019-01-13,18,228.0
2019-01-13,19,253.0
2019-01-13,20,291.5
2019-01-13,21,338.5
2019-01-13,22,368.5
2019-01-13,23,380.5
2019-01-13,24,384.5
2019-01-14,1,374.0
2019-01-14,2,347.5
2019-01-14,3,310.0
2019-01-14,4,317.5
2019-01-14,5,333.0
2019-01-14,6,336.0
2019-01-14,7,337.0
2019-01-14,8,354.0
2019-01-14,9,352.0
2019-01-14,10,323.5
2019-01-14,11,300.5
2019-01-14,12,278.0
2019-01-14,13,242.5
2019-01-14,14,203.5
2019-01-14,15,179.5
2019-01-14,16,179.0
2019-01-14,17,185.5
2019-01-14,18,187.0
2019-01-14,19,189.0
2019-01-14,20,178.5
2019-01-14,21,158.0
2019-01-14,22,132.0
2019-01-14,23,119.0
2019-01-14,24,126.5
2019-01-15,1,132.0
2019-01-15,2,148.0
2019-01-15,3,168.5
2019-01-15,4,187.0
2019-01-15,5,188.0
2019-01-15,6,182.0
2019-01-15,7,172.5
2019-01-15,8,159.0
2019-01-15,9,122.5
2019-01-15,10,62.5
2019-01-15,11,11.0
2019-01-15,12,6.0
2019-01-15,13,7.5
2019-01-15,14,7.5
2019-01-15,15,9.0
2019-01-15,16,14.5
2019-01-15,17,23.0
2019-01-15,18,29.0
2019-01-15,19,29.5
2019-01-15,20,27.0
2019-01-15,21,24.0
2019-01-15,22,22.0
2019-01-15,23,19.0
2019-01-15,24,16.0
2019-01-16,1,13.5
2019-01-16,2,13.5
2019-01-16,3,13.5
2019-01-16,4,12.5
2019-01-16,5,11.0
2019-01-16,6,9.0
2019-01-16,7,11.0
2019-01-16,8,10.0
2019-01-16,9,6.5
2019-01-16,10,3.5
2019-01-16,11,1.5
2019-01-16,12,2.5
2019-01-16,13,7.0
2019-01-16,14,15.0
2019-01-16,15,20.5
2019-01-16,16,20.5
2019-01-16,17,14.0
2019-01-16,18,9.0
2019-01-16,19,9.0
2019-01-16,20,8.0
