Escenario,Cluster_center,Dia_representativo,Probabilidad
1,10,2026-01-11,0.16853932584269662
2,27,2026-01-28,0.12921348314606743
3,90,2026-04-02,0.3202247191011236
4,124,2026-05-08,0.38202247191011235
