Escenario,Cluster_center,Dia_representativo,Probabilidad
1,10,2026-01-11,0.10112359550561797
2,27,2026-01-28,0.10112359550561797
3,86,2026-03-28,0.19662921348314608
4,101,2026-04-13,0.14606741573033707
5,107,2026-04-20,0.14606741573033707
6,128,2026-05-12,0.028089887640449437
7,138,2026-05-22,0.19662921348314608
8,173,2026-06-26,0.08426966292134831
